Data da Pesquisa,Video ID,Title,Channel Title,Published At,Description,Tags,Channel ID,View Count,Like Count,Dislike Count,Comment Count,Region Restriction,Relevant Topics,Live Streaming Details
12/05/2024,RRTO1rTU8Ec,"&quot;VÃO ME CRITICAR, mas EU FALO: o Endrick TÁ BATENDO MUITO! É DESLEAL!&quot; Faltas no Palmeiras ASSUSTAM!",Jovem Pan Esportes,2024-05-12T22:08:37Z,"Endrick tem cometido faltas violentas e desleais? Hoje teve Palmeiras x Athletico-PR, e entradas do atacante foram criticadas no ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,16058,1287,0,283,{},[],{}
12/05/2024,YlegND4P_Pg,"&quot;É UMA VERGONHA! É INADMISSÍVEL! Cara, o que o Vasco FEZ...&quot; VEXAME, SAÍDA de Ramón Díaz e CRISE!",Jovem Pan Esportes,2024-04-28T23:32:08Z,"Ramón Diaz pediu demissão ou foi demitido? O Vasco foi goleado, levou 4 gols a 0 do Criciúma e, logo após o jogo, anunciou a ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,132026,4943,0,327,{},[],{}
12/05/2024,hcHsc1sDBoY,&quot;CÊ TÁ LOUCO??? EU DUVIDO que FALARIA ISSO pro Gabigol!&quot; DEBATE FERVE sobre o Flamengo de Tite!,Jovem Pan Esportes,2024-04-25T17:11:59Z,"Até Gabigol foi citado! Após a derrota do Flamengo para o Bolíviar na altitude, Tite foi alvo de críticas durante debate no ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,183547,6308,0,498,{},[],{}
12/05/2024,eqIpo3-Gnjc,"&quot;O TITE FUGIU NO AEROPORTO, cara! É UMA VERGONHA! Ele...&quot; Pilhado DETONA ATITUDE no Flamengo!",Jovem Pan Esportes,2024-05-08T16:39:46Z,"Em meio a protestos da torcida do Flamengo, Tite deixou o Aeroporto do Galeão pela porta lateral. A atitude foi detonada por ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,275841,10553,0,1200,{},[],{}
12/05/2024,VWUgFDTRvZg,&quot;É RIDÍCULO! NÃO TEM MAIS DESCULPA! O Flamengo do Tite VIROU UM TIME de...&quot; Pilhado DETONA!,Jovem Pan Esportes,2024-05-02T16:30:06Z,Pilhado detonou o Flamengo de Tite após a vitória por 1 a 0 sobre o Amazonas na Copa do Brasil. Veja mais um vídeo do ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,223855,9954,0,801,{},[],{}
12/05/2024,1HH_-1ty-ro,"&quot;E O ABEL TÁ ERRADO???? Cara, ISSO que ELE FALOU...&quot; Declaração no Palmeiras PROVOCA POLÊMICA!",Jovem Pan Esportes,2024-05-12T22:35:10Z,Uma declaração de Abel Ferreira na entrevista coletiva após Palmeiras x Athletico-PR provocou polêmica e ferveu o debate no ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,10845,809,0,108,{},[],{}
12/05/2024,r21F8b3mjwU,Flamengo SE REVOLTA com ARBITRAGEM e QUESTIONA a CBF; Palmeiras e São Paulo VENCEM! | BATE-PRONTO,Jovem Pan Esportes,2024-05-06T17:12:05Z,"O Bate-Pronto de hoje falará tudo sobre as polêmicas envolvendo o empate por 1 a 1 entre Bragantino e Flamengo, no sábado, ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,205869,8043,0,83,{},[],{}
12/05/2024,wIbDdxGsyDE,PILHADO VOLTOU COM TUDO! &quot;É ISSO! O Flamengo do Tite VAI CALAR A MINHA BOCA se...&quot;,Jovem Pan Esportes,2024-04-22T15:33:59Z,"Pilhado voltou ao Bate-Pronto, da Jovem Pan Esportes, e falou sobre o Flamengo de Tite após o empate sem gols contra o ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,241361,13965,0,812,{},[],{}
12/05/2024,ryZ8Qz188Vw,&quot;FOI TUDO UM ABSURDO...&quot; Mauro Cezar e Pilhado DETONAM decisões do VAR na partida do Flamengo!,Jovem Pan Esportes,2024-05-05T17:22:11Z,"O Flamengo foi até Bragança Paulista e empatou em 1 x 1 com o Bragantino, em um jogo cheio de polêmicas de arbitragem, ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,486509,17358,0,2434,{},[],{}
12/05/2024,GF90PB46cNU,&quot;É SÉRIO! É ASSUSTADOR! O Gabigol NÃO EXISTIU! Parecia que...&quot; Mauro Cezar CRITICA o 10 do Flamengo!,Jovem Pan Esportes,2024-05-12T17:23:40Z,A atuação de Gabigol em Flamengo x Corinthians foi pífia. Mauro Cezar Pereira criticou o desempenho do atacante no Canelada ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,120828,7772,0,854,{},[],{}
12/05/2024,3_AvTRRSxdU,"&quot;É IMPRESSIONANTE! TEM QUE RESPEITAR o Athletico-PR e o Cuca! GANHOU do Palmeiras, é o LÍDER e...&quot;",Jovem Pan Esportes,2024-05-12T21:42:25Z,O Palmeiras perdeu para o líder Athletico-PR de Cuca por 2 gols a 0 hoje pelo Brasileirão. Veja o debate após o jogo no ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,29323,2256,0,342,{},[],{}
12/05/2024,_rl2BpxGxVk,FÜLLKRUG MARCA E BORUSSIA DORTMUND BATE O PSG EM NOITE APAGADA DE MBAPPÉ! - MELHOR DA LIGA,TNT Sports Brasil,2024-05-01T21:58:56Z,Borussia Dortmund e Paris Saint-Germain se enfrentam pela ida da semifinal da Champions League 2023/24! Você acompanha ...,[],UCs-6sCz2LJm1PrWQN4ErsPw,1524485,26143,0,22,{},[],{}
12/05/2024,uho6AYmmkUE,"&quot;Eu SEMPRE FALEI ISSO do Tite! Pra mim, o MAIOR PROBLEMA dele é...&quot; Mauro Cezar ANALISA o Flamengo!",Jovem Pan Esportes,2024-05-07T17:03:58Z,Hoje tem o jogo Palestino x Flamengo ao vivo e com imagem pela Libertadores. Assista ao comentário de Mauro Cezar Pereira ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,262976,8508,0,342,{},[],{}
12/05/2024,vkv6w18jqg0,PEGOU FOGO! &quot;VOCÊ É RIDÍCULO! O São Paulo É SIM um time que pode...&quot; Pilhado REBATE Flavio Prado!,Jovem Pan Esportes,2024-05-03T03:41:32Z,O São Paulo de Luis Zubeldía venceu o Águia de Marabá por 3 gols a 1 hoje pela Copa do Brasil e fez o debate ferver ao vivo ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,248372,8055,0,1393,{},[],{}
12/05/2024,SazErDk88nc,TRICOLOR NAS OITAVAS! São Paulo VENCE o Cobresal e SE CLASSIFICA na Libertadores! | CANELADA,Jovem Pan Esportes,2024-05-09T03:34:57Z,Veja a íntegra do Canelada. Crédito da foto usada na thumbnail: Reprodução/Twitter da Conmebol Baixe o app Panflix: ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,132984,5445,0,65,{},[],{}
12/05/2024,AWiTgFht9UA,São Paulo 0 x 0 Palmeiras - 29/04/2024 - Brasileirão,Jovem Pan Esportes,2024-04-30T01:22:15Z,Jogo São Paulo x Palmeiras ao vivo hoje: assista à transmissão com imagem dos jornalistas da Jovem Pan Esportes. Narração ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,1559326,14559,0,29,{},[],{}
12/05/2024,c_88CKuPs3Q,"BASTIDORES! &quot;A SITUAÇÃO É ESSA! Se o Gabigol DE FATO FOR SUSPENSO, o Flamengo...&quot; Mauro Cezar FALA!",Jovem Pan Esportes,2024-03-26T17:15:01Z,Informações: e agora? Gabigol vai sair do Flamengo? O atacante foi suspenso por 2 anos por tentativa de fraude no exame ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,311100,10330,0,729,{},[],{}
12/05/2024,irBtISjvzd0,A CBF deveria PARAR o Brasileirão pela CALAMIDADE no RS?; Flamengo e Corinthians JOGAM | BATE-PRONTO,Jovem Pan Esportes,2024-05-07T17:10:19Z,O Bate-Pronto de hoje debaterá a situação do futebol brasileiro em meio ao estado de calamidade no Rio Grande do Sul devido ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,220232,8883,0,245,{},[],{}
12/05/2024,m7FHCNge_Go,"Palmeiras VENCE após VIRADA ÉPICA contra Del Valle; Flamengo PERDE, e Tite VIRA ALVO! | BATE-PRONTO",Jovem Pan Esportes,2024-04-25T17:07:06Z,O Bate-Pronto de hoje falará tudo sobre os jogos de ontem pela Libertadores. Tanto Palmeiras quanto Flamengo entraram em ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,198196,8069,0,86,{},[],{}
12/05/2024,K1Sgy-jdDVA,&quot;FOI UMA LAMBANÇA! ERRO CRASSO! O Flamengo...&quot; NOVO CONTRATO com a Globo é ANALISADO por Mauro Cezar,Jovem Pan Esportes,2024-04-09T16:35:05Z,Novo contrato do Flamengo com a TV Globo pelos direitos de transmissão do Brasileirão de 2025 a 2029: o clube rubro-negro ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,383515,13310,0,952,{},[],{}
12/05/2024,RIIp05CuwD4,Corinthians DOMINA o Fluminense e VOLTA A VENCER; Flamengo PERDE; Hoje tem CHOQUE-REI! | BATE-PRONTO,Jovem Pan Esportes,2024-04-29T17:13:52Z,"O Bate-Pronto de hoje falará tudo sobre os jogos deste fim de semana pelo Brasileirão. Em Itaquera, o Corinthians não deu ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,185139,7644,0,75,{},[],{}
12/05/2024,DkZBVcq0Gu4,É TRICAMPEÃO! Palmeiras VENCE o Santos e CONQUISTA o 3º TÍTULO PAULISTA SEGUIDO! | CANELADA,Jovem Pan Esportes,2024-04-08T00:42:27Z,"Veja a íntegra do Canelada. Crédito das fotos usadas na thumbnail: Fabio Menotti/Palmeiras/by Canon Siga o canal ""Jovem Pan ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,235194,6951,0,148,{},[],{}
12/05/2024,21DVtzR19LQ,Bragantino 1 x 1 Flamengo - 04/05/2024 - Brasileirão,Jovem Pan Esportes,2024-05-04T23:47:00Z,Jogo Bragantino x Flamengo ao vivo hoje: assista à transmissão com imagem dos jornalistas da Jovem Pan Esportes. Narração ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,1203387,8765,0,91,{},[],{}
12/05/2024,GE2RpVdPVXA,Presidente do Grêmio CITA Flamengo e paulistas ao COBRAR a PARALISAÇÃO do Brasileirão | VEJA DEBATE,Jovem Pan Esportes,2024-05-07T16:34:07Z,"Chuvas e enchentes no Rio Grande do Sul: o presidente do Grêmio, Alberto Guerra, cobrou a CBF pela paralisação do ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,199920,6237,0,766,{},[],{}
12/05/2024,kFQMa_xlDEw,Flamengo e Corinthians JOGAM HOJE pela Copa do Brasil; Vini BRILHA na Champions! | BATE-PRONTO,Jovem Pan Esportes,2024-05-01T17:06:52Z,O Bate-Pronto de hoje projetará os jogos de hoje de Flamengo e Corinthians pela Copa do Brasil. O time rubro-negro vai ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,159409,6773,0,72,{},[],{}
12/05/2024,xF2MB2R7hCQ,&quot;O Corinthians é UMA COISA MEDONHA! E É MUITO CLARO que o Flamengo...&quot; Mauro Cezar ANALISA 2 a 0!,Jovem Pan Esportes,2024-05-12T16:55:11Z,O Flamengo de Tite venceu o Corinthians por 2 gols a 0 ontem e dormiu na liderança do Brasileirão. Veja a análise de Mauro ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,106002,6404,0,393,{},[],{}
12/05/2024,q-6MGl5kFCk,&quot;ISSO É UMA ARMADILHA PERIGOSA! O Dorival pra mim...&quot; Mauro Cezar FALA TUDO da Seleção Brasileira!,Jovem Pan Esportes,2024-03-27T15:35:02Z,Seleção Brasileira: Brasil e Espanha empataram por 3 gols a 3 no segundo jogo de Dorival Júnior à frente do selecionado ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,335642,12901,0,2320,{},[],{}
12/05/2024,tHM9g01mViE,Palmeiras 2 x 1 Botafogo-SP - 02/05/2024 - Copa do Brasil,Jovem Pan Esportes,2024-05-03T02:44:09Z,Jogo Palmeiras x Botafogo/SP ao vivo hoje: assista à transmissão com imagem dos jornalistas da Jovem Pan Esportes. Narração ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,469186,4321,0,19,{},[],{}
12/05/2024,Z2U-cJ1DYdE,Corinthians 3 x 0 Fluminense - 28/04/2024 - Brasileirão,Jovem Pan Esportes,2024-04-28T21:11:03Z,Jogo Corinthians x Fluminense ao vivo hoje: assista à transmissão com imagem dos jornalistas da Jovem Pan Esportes.,[],UCv-Nx8pSfG_LxbViMz14RWQ,473013,4320,0,51,{},[],{}
12/05/2024,aeeok2OqZaM,São Paulo e Palmeiras EMPATAM; Gabigol consegue EFEITO SUSPENSIVO e pode JOGAR no Fla | BATE-PRONTO,Jovem Pan Esportes,2024-04-30T17:10:45Z,"O Bate-Pronto de hoje analisará o empate por 0 a 0 de ontem entre São Paulo e Palmeiras, no Estádio do Morumbi. O clássico foi ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,179357,7278,0,52,{},[],{}
12/05/2024,a_ssXW8BZuk,"MEU DEUS! Pilhado SURTA, SE VESTE de Einstein e DETONA Tite após DERROTA do Flamengo &quot;da CIÊNCIA&quot;!",Jovem Pan Esportes,2024-04-29T15:38:17Z,"PILHADO EINSTEIN!!! Após nova derrota do Flamengo, Tite foi detonado pelo apresentador do Bate-Pronto, que se vestiu de ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,260463,13819,0,1302,{},[],{}
12/05/2024,wij7wDnXaZY,"&quot;ISSO É UM ESCÁRNIO, cara! É UMA FALSIDADE da CBF!&quot; OLHA qual ATITUDE sobre TRAGÉDIA no RS REVOLTOU!",Jovem Pan Esportes,2024-05-12T23:00:32Z,Tragédia no Rio Grande do Sul por causa das chuvas e enchentes: a CBF anunciou que vai se reunir com os clubes apenas no ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,6294,363,0,43,{},[],{}
12/05/2024,BYztErWyfns,Corinthians 0 x 0 Fortaleza - 04/05/2024 - Brasileirão,Jovem Pan Esportes,2024-05-05T03:10:42Z,Jogo Corinthians x Fortaleza ao vivo hoje: assista à transmissão com imagem dos jornalistas da Jovem Pan Esportes. Narração ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,408189,4871,0,5,{},[],{}
12/05/2024,03djyLPpY48,ÉPICO! Real Madrid VENCE o Manchester City NOS PÊNALTIS e vai à SEMIFINAL da Champions! | PÓS-JOGO,Jovem Pan Esportes,2024-04-17T22:51:12Z,Assista ao pós-jogo da Champions League na Jovem Pan Esportes. Crédito da foto usada na thumbnail: ADAM VAUGHAN/EFE ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,239863,4976,0,39,{},[],{}
12/05/2024,8ZdkDh21fOg,&quot;TEM QUE RESPEITAR o Vinicius Júnior! E DEU PRA VER ele FALANDO pro Ancelotti que...&quot; Bayern x Real,Jovem Pan Esportes,2024-04-30T22:04:48Z,"Bayern de Munique x Real Madrid na Champions League: Vinicius Júnior fez dois gols, ""se irritou"" com Ancelotti e foi o grande ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,242927,8263,0,385,{},[],{}
12/05/2024,KAIYesN3HZg,São Paulo PERDE para o Fortaleza em ESTREIA no Brasileirão | CANELADA,Jovem Pan Esportes,2024-04-14T18:09:44Z,"Veja a íntegra do Canelada. Siga o canal ""Jovem Pan Esportes"" no WhatsApp: https://whatsapp.com/channel/0029Va9w.",[],UCv-Nx8pSfG_LxbViMz14RWQ,117354,4449,0,25,{},[],{}
12/05/2024,AdXY6Hq3k8k,América-RN 1 x 2 Corinthians - 01/05/2024 - Copa do Brasil,Jovem Pan Esportes,2024-05-02T01:19:57Z,Jogo América-RN x Corinthians ao vivo hoje: assista à transmissão com imagem dos jornalistas da Jovem Pan Esportes.,[],UCv-Nx8pSfG_LxbViMz14RWQ,610350,4753,0,31,{},[],{}
12/05/2024,_fLvmBs0bTQ,"&quot;Cara, o que o Felipe Melo FALOU sobre Daniel Alves e Robinho foi...&quot; FORTE DECLARAÇÃO é DEBATIDA!",Jovem Pan Esportes,2024-03-28T17:38:27Z,Felipe Melo fala sobre Daniel Alves e Robinho em entrevista ao Globo Esporte e revela um forte posicionamento sobre os casos.,[],UCv-Nx8pSfG_LxbViMz14RWQ,323710,9082,0,833,{},[],{}
12/05/2024,HWPc953ZNh8,&quot;O que o Textor ME MOSTROU foi uma...&quot; NOVA REVELAÇÃO de presidente da CPI PROVOCA DEBATE!,Jovem Pan Esportes,2024-04-24T16:41:37Z,"Textor entregou provas? Um dia após o dono do Botafogo ir à CPI das Manipulações de Resultados, Jorge Kajuru, senador ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,198067,6422,0,1873,{},[],{}
12/05/2024,AXqk68EU8bk,"&quot;ISSO É COMPLICADO! Gente, o Thiago Silva no Fluminense vai...&quot; REFORÇO DE PESO PROVOCA DEBATE!",Jovem Pan Esportes,2024-05-07T17:36:49Z,"Thiago Silva no Fluminense: o zagueiro, autor de skills e highlights no Chelsea em 2024, foi anunciado como novo reforço do ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,111139,4321,0,721,{},[],{}
12/05/2024,Alie2BGJJ6Y,"&quot;É FANTÁSTICO, gente! AO CONTRÁRIO do Ronaldo, o NOVO DONO do Cruzeiro é...&quot; OLHA esse DEBATE!",Jovem Pan Esportes,2024-04-30T02:20:31Z,"Ronaldo VENDEU a SAF do Cruzeiro! Agora, Pedro Lourenço é o novo dono do clube celeste. O que esperar? Veja o debate no ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,245353,9494,0,850,{},[],{}
12/05/2024,VKUcfVLVTTM,"&quot;Que BAITA CONTRATAÇÃO do São Paulo! Esse cara ME SURPREENDEU, TÁ JOGANDO MUITO e...&quot; VEJA DEBATE!",Jovem Pan Esportes,2024-04-26T02:44:58Z,André Silva e Ferreirinha foram exaltados após o São Paulo fazer 2 gols a 0 no Barcelona de Guayaquil hoje na Libertadores.,[],UCv-Nx8pSfG_LxbViMz14RWQ,148000,6040,0,339,{},[],{}
12/05/2024,tHM9g01mViE,Palmeiras 2 x 1 Botafogo-SP - 02/05/2024 - Copa do Brasil,Jovem Pan Esportes,2024-05-03T02:44:09Z,Jogo Palmeiras x Botafogo/SP ao vivo hoje: assista à transmissão com imagem dos jornalistas da Jovem Pan Esportes. Narração ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,469186,4321,0,19,{},[],{}
12/05/2024,21DVtzR19LQ,Bragantino 1 x 1 Flamengo - 04/05/2024 - Brasileirão,Jovem Pan Esportes,2024-05-04T23:47:00Z,Jogo Bragantino x Flamengo ao vivo hoje: assista à transmissão com imagem dos jornalistas da Jovem Pan Esportes. Narração ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,1203387,8765,0,91,{},[],{}
12/05/2024,F5Z2NRLcvSk,&quot;É SÓ &#39;FUMO&#39;! O Corinthians AUMENTOU pra R$ 114 MILHÕES a DÍVIDA de...&quot; OLHA ISSO!,Jovem Pan Esportes,2024-04-25T17:42:45Z,"Dívida do Corinthians: de 2022 para 2023, houve um aumento de 70% no valor devido pelo Timão de direitos de imagem a ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,209186,6338,0,373,{},[],{}
12/05/2024,03djyLPpY48,ÉPICO! Real Madrid VENCE o Manchester City NOS PÊNALTIS e vai à SEMIFINAL da Champions! | PÓS-JOGO,Jovem Pan Esportes,2024-04-17T22:51:12Z,Assista ao pós-jogo da Champions League na Jovem Pan Esportes. Crédito da foto usada na thumbnail: ADAM VAUGHAN/EFE ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,239863,4976,0,39,{},[],{}
12/05/2024,jUpjcaBnyyo,SENSACIONAL! OLHA o que o presidente do Atlético-GO FALOU após DERROTA pro São Paulo! SURPREENDENTE!,Jovem Pan Esportes,2024-04-22T00:16:28Z,"SURPREENDENTE! O Atlético Goianiense perdeu para o São Paulo por 3 gols a 0 hoje, e o presidente do Dragão, Adson Batista ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,167474,5872,0,518,{},[],{}
12/05/2024,Z2U-cJ1DYdE,Corinthians 3 x 0 Fluminense - 28/04/2024 - Brasileirão,Jovem Pan Esportes,2024-04-28T21:11:03Z,Jogo Corinthians x Fluminense ao vivo hoje: assista à transmissão com imagem dos jornalistas da Jovem Pan Esportes.,[],UCv-Nx8pSfG_LxbViMz14RWQ,473013,4320,0,51,{},[],{}
12/05/2024,-WX3wNwHi6w,"Racing x Corinthians - JOGO COMPLETO, com narração de Diguinho Coruja | Copa Sul-Americana 2024",SBT Sports,2024-04-03T03:11:02Z,"Vai começar a fase de grupos da Conmebol Sul-Americana. No SBT, ninguém perde nenhum detalhe da estreia do Corinthians, ...",[],UCxc3marqP9BJSkQ0_K4mqDg,1408260,44760,0,51,{},[],{}
12/05/2024,AdXY6Hq3k8k,América-RN 1 x 2 Corinthians - 01/05/2024 - Copa do Brasil,Jovem Pan Esportes,2024-05-02T01:19:57Z,Jogo América-RN x Corinthians ao vivo hoje: assista à transmissão com imagem dos jornalistas da Jovem Pan Esportes.,[],UCv-Nx8pSfG_LxbViMz14RWQ,610350,4753,0,31,{},[],{}
12/05/2024,0R8Ss0VZ0zs,&quot;É INACREDITÁVEL! O Palmeiras do Abel é o ÚNICO TIME CAPAZ de...&quot; VIRADA SURREAL contra o Del Valle!,Jovem Pan Esportes,2024-04-25T03:53:28Z,"VIRADA SURREAL! O Palmeiras fez 3 gols a 2 no Independiente del Valle hoje pela Libertadores, e Abel Ferreira foi exaltado no ...",[],UCv-Nx8pSfG_LxbViMz14RWQ,287949,12003,0,922,{},[],{}
12/05/2024,Cwv8ba9hrDw,Corinthians empata em casa; Diretoria do Flamengo DETONA a arbitragem do Brasileirão! | CANELADA,Jovem Pan Esportes,2024-05-05T18:14:27Z,Veja a íntegra do Canelada!!! Crédito da foto usada na thumbnail: MARCO GALVÃO/FOTOARENA/ESTADÃO CONTEÚDO Baixe ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,198825,7384,0,65,{},[],{}
12/05/2024,bs19Nv0nSTs,OS ESPORTES MAIS ENGRAÇADOS DO MUNDO!!!!,Reversão,2022-04-20T22:18:32Z,SEMPRE REVERSÃO!! SE INSCREVA E DEIXE O LIKE! Insta: https://bit.ly/2G8xoDx OUTROS CANAIS: VLOGS: @CanalCanalha ...,[],UCyEHckavb7hMh5f8j4WEiIg,485825,55959,0,1377,{},[],{}
12/05/2024,zkzY476j28A,"Palmeiras PERDE para o Athletico-PR, que VOLTA À LIDERANÇA ISOLADA do Brasileirão! | CANELADA",Jovem Pan Esportes,2024-05-12T22:38:40Z,Veja a íntegra do Canelada Crédito da foto usada na thumbnail: YURI MURAKAMI/FOTOARENA/ESTADÃO CONTEÚDO Baixe o ...,[],UCv-Nx8pSfG_LxbViMz14RWQ,71595,3978,0,29,{},[],{}
12/05/2024,5i64nqk9Zyo,ESPORTES MAIS PERIGOS0S DO MUNDO!!,Reversão,2022-06-12T20:22:13Z,SEMPRE REVERSÃO!! SE INSCREVA E DEIXE O LIKE! Insta: https://bit.ly/2G8xoDx OUTROS CANAIS: VLOGS: @CanalCanalha ...,[],UCyEHckavb7hMh5f8j4WEiIg,340289,46276,0,174,{},[],{}
